ID	Combined	L	P	N	S	R	PFD	V	FE	VS	BF	SP	NL	OW	TO	MSD	NR
1	L1P1N1S1	L1	P1	N1	S1	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
2	L1P1N1S2	L1	P1	N1	S2	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
3	L1P1N2S1	L1	P1	N2	S1	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
4	L1P1N2S2	L1	P1	N2	S2	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
5	L1P2N1S1	L1	P2	N1	S1	R2	PFD1	V1	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
6	L1P2N1S2	L1	P2	N1	S2	R2	PFD1	V1	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
7	L1P2N2S1	L1	P2	N2	S1	R1	PFD1	V1	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
8	L1P2N2S2	L1	P2	N2	S2	R1	PFD1	V1	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
9	L1P3N1S1	L1	P3	N1	S1	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
10	L1P3N1S2	L1	P3	N1	S2	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
11	L1P3N2S1	L1	P3	N2	S1	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
12	L1P3N2S2	L1	P3	N2	S2	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
13	L1P4N1S1	L1	P4	N1	S1	R2	PFD1	V1	FE2	VS2	BF2	SP1	NL4	OW1	TP1	MSD1	NR1
14	L1P4N1S2	L1	P4	N1	S2	R2	PFD1	V1	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
15	L1P4N2S1	L1	P4	N2	S1	R1	PFD1	V1	FE2	VS2	BF2	SP1	NL4	OW1	TP1	MSD1	NR1
16	L1P4N2S2	L1	P4	N2	S2	R1	PFD1	V1	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
17	L1P5N1S1	L1	P5	N1	S1	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL4	OW1	TP1	MSD1	NR1
18	L1P5N1S2	L1	P5	N1	S2	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
19	L1P5N2S1	L1	P5	N2	S1	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL4	OW1	TP1	MSD1	NR1
20	L1P5N2S2	L1	P5	N2	S2	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
21	L1P6N1S1	L1	P6	N1	S1	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
22	L1P6N1S2	L1	P6	N1	S2	R2	PFD1	V1	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
23	L1P6N2S1	L1	P6	N2	S1	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
24	L1P6N2S2	L1	P6	N2	S2	R1	PFD1	V1	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
25	L2P1N1S1	L2	P1	N1	S1	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
26	L2P1N1S2	L2	P1	N1	S2	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
27	L2P1N2S1	L2	P1	N2	S1	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
28	L2P1N2S2	L2	P1	N2	S2	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL2	OW1	TP1	MSD1	NR1
29	L2P2N1S1	L2	P2	N1	S1	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
30	L2P2N1S2	L2	P2	N1	S2	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
31	L2P2N2S1	L2	P2	N2	S1	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
32	L2P2N2S2	L2	P2	N2	S2	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL3	OW1	TP1	MSD1	NR1
33	L2P3N1S1	L2	P3	N1	S1	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
34	L2P3N1S2	L2	P3	N1	S2	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
35	L2P3N2S1	L2	P3	N2	S1	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
36	L2P3N2S2	L2	P3	N2	S2	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL3	OW1	TP1	MSD1	NR1
37	L2P4N1S1	L2	P4	N1	S1	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL4	OW1	TP1	MSD1	NR1
38	L2P4N1S2	L2	P4	N1	S2	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
39	L2P4N2S1	L2	P4	N2	S1	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL4	OW1	TP1	MSD1	NR1
40	L2P4N2S2	L2	P4	N2	S2	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
41	L2P5N1S1	L2	P5	N1	S1	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL4	OW1	TP1	MSD1	NR1
42	L2P5N1S2	L2	P5	N1	S2	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
43	L2P5N2S1	L2	P5	N2	S1	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL4	OW1	TP1	MSD1	NR1
44	L2P5N2S2	L2	P5	N2	S2	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
45	L2P6N1S1	L2	P6	N1	S1	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
46	L2P6N1S2	L2	P6	N1	S2	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
47	L2P6N2S1	L2	P6	N2	S1	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
48	L2P6N2S2	L2	P6	N2	S2	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL1	OW1	TP1	MSD1	NR1
49	L3P1N1S3	L3	P1	N1	S3	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL6	OW1	TP1	MSD1	NR1
50	L3P1N2S3	L3	P1	N2	S3	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL6	OW1	TP1	MSD1	NR1
51	L3P2N1S3	L3	P2	N1	S3	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL7	OW1	TP1	MSD1	NR1
52	L3P2N2S3	L3	P2	N2	S3	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL7	OW1	TP1	MSD1	NR1
53	L3P3N1S3	L3	P3	N1	S3	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL7	OW1	TP1	MSD1	NR1
54	L3P3N2S3	L3	P3	N2	S3	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL7	OW1	TP1	MSD1	NR1
55	L3P4N1S3	L3	P4	N1	S3	R2	PFD2	V2	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
56	L3P4N2S3	L3	P4	N2	S3	R1	PFD2	V2	FE2	VS2	BF2	SP1	NL5	OW1	TP1	MSD1	NR1
57	L3P5N1S3	L3	P5	N1	S3	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
58	L3P5N2S3	L3	P5	N2	S3	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
59	L3P6N1S3	L3	P6	N1	S3	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
60	L3P6N2S3	L3	P6	N2	S3	R1	PFD2	V2	FE1	VS1	BF1	SP1	NL5	OW1	TP1	MSD1	NR1
61	L4P1N3S3	L4	P1	N3	S3	R2	PFD2	V2	FE1	VS1	BF1	SP1	NL6	OW2	TP2	MSD1	NR1
62	L4P2N3S3	L4	P2	N3	S3	R2	PFD2	V2	FE3	VS2	BF2	SP1	NL7	OW2	TP2	MSD1	NR1
